0, "Louis", "MORO", 1997-09-24 00:00:00, 1588364299, unknown, "escalade avec le chien au marché"
1, "Franky", "VERRA", 1985-12-12 00:00:00, 1588623499, 0, "rencontre familiale"
2, "Bonnie", "WANDERSON", 1966-03-17 00:00:00, 1589314699, 1, "sport  en ville"
3, "Katherine", "RITA", 1985-03-12 00:00:00, 1589660299, 2, "courses"
4, "Samuel", "SORKO", 1974-03-12 00:00:00, 1590005899, 3, "apéro avec des copains en ville"
5, "Sandy", "SANCHEZ", 1968-11-21 00:00:00, 1590437899, 2, "courses avec ma fille au supermarché"
6, "Mirna", "ROSIE", 1954-03-17 00:00:00, 1590956299, 5, "rencontre avec amis"
7, "Rachel", "GREK", 1974-07-17 00:00:00, 1590956300, 3, "rencontre avec amis"
8, "Sébastien", "RAMIROS", 1994-03-17 00:00:00, 1591474699, 7, "sport  en ville"
9, "Frank", "DRAKE", 1969-03-17 00:00:00, 1591906699, 5, "courses"
